Industry,Country,Total_Net_Worth,Name
Technology,world,33731,"Elon Musk , Jeff Bezos , Bill Gates , Larry Page , Sergey Brin , Mark Zuckerberg , Steve Ballmer , Larry Ellison , MacKenzie Scott , Michael Dell , Ma Huateng , Zhang Yiming , Jack Ma , Azim Premji , Takemitsu Takizaki , William Ding , Colin Huang , Shiv Nadar , Eric Schmidt , Dustin Moskovitz , Scott Farquhar , Mike Cannon-Brookes , Jensen Huang , Masayoshi Son , Zhang Zhidong , Forrest Li , Wang Xing , Lei Jun , Jay Chaudhry , Richard Liu , Dave Duffield , Eduardo Saverin , Hasso Plattner , Jim Goodnight , Jack Dorsey , Lin Jianhua , Jan Koum , Eric Yuan , Robert Pera , Gong Hongjia , Tobi Lutke , Brian Armstrong , Robin Li , Marc Benioff , Patrick Collison , John Collison , Gang Ye , Brian Kim , Pierre Omidyar , Zhou Qunfei , Bobby Murphy , Dietmar Hopp , Gordon Moore , Cao Renxian , Qian Dongqi , Evan Spiegel , Tim Sweeney , Joseph Tsai , Andy Bechtolsheim , David Sun , John Tu , Xavier Niel , Gabe Newell , He Xiaopeng , John Sall , Tatyana Bakalchuk , Lin Bin , Guillaume Pousaz , Yu Renrong , Reed Hastings , Denis Sverdlov , Yeung Kin-Man , Matthew Prince , Henry Samueli , Frank Wang , Su Hua , Martin Lorentzon , Marcos Galperin , Bin Li , Joe Mansueto , Wang Yanqing , Jiang Bin , Wang Wenjing , Barry Lam , Kim Jung-Ju , Mark Cuban , Barry Diller "
Industrial,world,29550,"Gautam Adani , Charles Koch , Julia Flesher Koch&family, Zeng Yuqun , Klaus-Michael Kuehne , Pallonji Mistry , Li Shu Fu, Alexey Mordashov , Vladimir Lisin , Huang Shilin , Susanne Klatten , Stefan Quandt , Elaine Marshall , Aliko Dangote , Viktor Vekselberg , Andrey Melnichenko , Pei Zhenhua , Jim Ratcliffe , Goh Cheng Liang, Victor Rashnikov , Reinhold Wuerth , Zhang Bo , Zhang Congyuan , Liu Hanyuan , Kumar Birla , Liu Jincheng , Steven Rales , Rinat Akhmetov , Antonia Axson Johnson, Liu Yongxing , John Fredriksen , Li Ping , Georg Schaeffler , Alexander Abramov , Mitchell Rales , Anthony Pratt , Magdalena Martullo , Wang Laisheng , Rahel Blocher , Shigenobu Nagamori , Martin Viessmann&family , Dennis Washington , Wang Laichun , Andrey Guryev , Chen Jianhua , Anthony Bamford&family , Ludwig Merckle , Vyacheslav Kantor , Peter-Alexander Wacker&family , Ruan Liping , Ashwin Dani&family , Nassef Sawiris , Ruan Xueping , Mahendra Choksi&family , Abhay Vakil&family , Terry Gou , Antti Herlin "
Finance,world,29442,"Stephen Schwarzman , Abigail Johnson , James Simons , Thomas Peterffy , Ken Griffin , Uday Kotak , Ned Johnson III, Vicky Safra , Ray Dalio , David Tepper , Sam Bankman-Fried , Charles Schwab , Leon Black , George Roberts , Henry Kravis , Qi Shi , Steve Cohen , Carl Bennet , John Grayken , Michael Platt , Stan Druckenmiller , Izzy Englander , Graeme Hart , Wee Cho Yaw, Andy Beal , Luis Sarmiento , Robert Smith , John Doerr , Yu Yong , Ned Johnson IV, Elizabeth Johnson , Oleg Tinkov , Chase Coleman , Mat Ishbia , Josh Harris , George Soros , David Shaw , Teh Hong Piow, Peter Thiel , Tom Gores , Vyacheslav Kim , Chris Hohn , Jon Gray , Mike Novogratz , Steve Feinberg , Mikheil Lomtadze , Nik Storonsky , Marc Rowan , Zhang Lei , Tony Ressler , David Bonderman , Ken Fisher , Henry Laufer , Tony James , Andreas Halvorsen "
Consumer,world,23188,"Bernard Arnault , Francoise Bettencourt Meyers, Phil Knight&family , Francois Pinault , Leonard Lauder , Leonardo Del Vecchio, Alain Wertheimer , Gerard Wertheimer , He Xiangjian , Wei Jianjun , Wang Chuan-Fu , James Dyson , Ernie Garcia , Ma Jianrong , Lv Xiang-yang , Jim Davis , Chen Zhiping , Ding Shizhong , Ding Shijia , Giorgio Armani , Anthony von Mandl, Ernest Garcia III, Jude Reyes , Chris Reyes , Jian Jun , Ralph Lauren , Laurence Graff , Leng You-Bin , Takahisa Takahara , Shahid Khan , Horst Pudwill , Tito Beveridge , Jane Lauder , Gao Dekang , Kjeld Kirk Kristiansen, Sofie Kirk Kristiansen, Agnete Kirk Thinggaard, Thomas Kirk Kristiansen, Lin Muqin "
Diversified,world,20065,"Warren Buffett , Zhong Shanshan , Carlos Slim , Len Blavatnik , Gennady Timchenko , Carl Icahn , Alisher Usmanov , Ernesto Bertarelli&family , Gustaf Douglas&family , Robert Kuok , Roman Abramovich , Budi Hartono , Michael Hartono , Alwaleed Bin Talal, Mikhail Fridman , Ricardo Salinas , Philip Anschutz , Mikhail Prokhorov , Melker Schorling , Melinda French Gates, Dmitry Rybolovlev , German Khan , Laurent Dassault , Marie-Helene Habert-Dassault , Thierry Dassault , Johann Rupert&family , Jay Y. Lee, Liu Yonghao , August von Finck, Samuel Yin , Nusli Wadia , Rahul Bajaj , Vincent Bollore , Nicky Oppenheimer , Alexey Kuzmichev , Shari Arison , Stef Wertheimer , Manuel Villar , Lu Weiding , Simon Reuben , David Reuben , Petr Aven , Joe Lewis , Richard Branson , Bidzina Ivanishvili "
Real Estate,world,17539,"Li Ka-shing , Dan Gilbert , Yang Huiyan , Lee Shau Kee, Peter Woo , Donald Bren , Wu Yajun , Hugh Grosvenor , Raymond Kwok , Stan Kroenke , Thomas Kwok , Harry Triguboff , John Albert Sobrato, KP Singh  , Pham Nhat Vuong, Stephen Ross , Wang Jianlin , Cai Kui , Frank Lowy , Sergey Gordeev , Hui Ka Yan, Geoffrey Kwok , Alexander Otto , Fredrik Lundberg , Joseph Lau , Edward Roski , Olav Thon , Charles Cadogan , Leonard Stern , Sam Zell , Hui Wing Mau, Kei Hoi Pang, Majid Al Futtaim"
Retail,world,16503,"Amancio Ortega , Jim Walton , Rob Walton , Alice Walton , Tadashi Yanai , Dieter Schwarz , Henry Cheng , Radhakishan Damani , Lukas Walton , John Menard , Stefan Persson , Karl Albrecht Jr, Beate Heister , Anders Holch Povlsen&family, Heinrich Deichmann&family , Christy Walton , Stefano Pessina , Les Wexner , Theo Albrecht Jr, Michael Otto , Sandra Ortega Mera, Michael Rubin , Yao Liangsong , Charles Butt&family , Nancy Laurie , Chip Wilson , Hiroshi Mikitani , Ann Kroenke , Tom Morris , Johan Johannson&family , Eric Smidt , Frits Goldschmeding "
Media&Telecom,world,15169,"Donald Newhouse , Sherry Brydson , Charles Ergen , Sunil Mittal , John Malone , Patrick Drahi , Rocco Commisso , Rupert Murdoch , Silvio Berlusconi , Taylor Thomson , David Thomson , Peter Thomson , Blair Parry-Okeden , Jim Kennedy , James Pattison , Liz Mohn , Linda Campbell , Gaye Farncombe , Richard Li , Katharine Rayner , Margaretta Taylor , James Cox Chambers"
Health Care,world,14526,"Thomas Frist , Thomas Struengmann , Andreas Struengmann , Li Xiting , Jiang Rensheng , Xu Hang , Chen Bang , Cyrus Poonawalla , Dilip Shanghvi , Ugur Sahin , Sun Piaoyang , Jorge Moll&family , Stephane Bancel , Patrick Soon-Shiong , Carl Cook , Li Ge , Zhong Huijuan , Niels Louis-Hansen , Hansjoerg Wyss , Reinhold Schmieding , Cen Junda , Ronda Stryker , Frederik Paulsen , Zhao Yan , Andre Hoffmann , Alain Merieux , Vera Michalski-Hoffmann , Maja Hoffmann , Seo Jung-Jin , Pat Stryker "
Energy,world,14330,"Mukesh Ambani , Leonid Mikhelson , Vagit Alekperov , Li Zhenguo , Harold Hamm , Fan Hongwei , Dang Yanbao , Sarath Ratanavadi , Jin Baofang , Michael Kadoorie , Leonid Fedun , Richard Kinder , Li Shuirong , Wang Yusuo , Terry Pegula , Mohammed Al Amoudi, Lynn Schusterman , Randa Williams , Dannine Avara , Scott Duncan , Milane Frantz , Ronald McAulay , Idan Ofer , Jeffery Hildebrand , Arthur Irving , Ray Hunt , Trevor Rees-Jones "
Food&Beverage,world,13599,"Jacqueline Badger Mars, John Mars , Giovanni Ferrero&family , Pang Kang , Qin Yinglin , Jorge Paulo Lemann, Charlene de Carvalho-Heineken, Charoen Sirivadhanabhakdi , Dietrich Mateschitz , Marijke Mars , Victoria Mars , Pamela Mars-Wright , Valerie Mars , Alejandro Santo Domingo&family, Emmanuel Besnier , Marcel Telles , Carlos Sicupira , Wu Shaoxun , Cheng Xue , Natie Kirsh , Xu Shihui , Juan Beckmann Vidal&family, Axel Oberwelland , Dan Cathy , Bubba Cathy , Bob Rich , Jean-Pierre Cayard , Tsai Eng-Meng , Jean-Michel Besnier , M A Yusuff Ali"
Commodities,world,7891,"Vladimir Potanin , Lakshmi Mittal , Iris Fontbona&family , Sara Mota de Larrea&family, Gina Rinehart , Andrew Forrest , Wang Wenyin , Savitri Jindal , Paolo Rocca&family , Suleiman Kerimov , Alberto Bailleres , Benu Bangur , Iskandar Makhmudov , German Larrea , Gwendolyn Sontheim Meyer, Pauline Keinath , Ivan Glasenberg , J K Irving"
Services,world,6530,"Wang Wei , Brian Chesky , Joe Gebbia , Nathan Blecharczyk , Eyal Ofer , Gianluigi Aponte , Tammy Gustavson , Jorn Rausing , Mark Shoen , Patrick Ryan , Lai Meisong , Cliff Obrecht , Melanie Perkins "
Entertainment,world,5339,"Miriam Adelson , Lui Che-Woo , David Geffen , Micky Arison , Jerry Jones , George Lucas , Johann Graf , Steven Spielberg , Denise Coates , Robert Kraft "
Islands,world,625,Kenneth Dart 
 Media&Telecom,world,189,Laurene Powell Jobs
